Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2020,Centro,Varones,Sin especificar,12,132
2020,Sur-Metán,Varones,Sin especificar,12,32
2020,Norte-Orán,Varones,Sin especificar,12,25
2020,Norte-Tartagal,Varones,Sin especificar,12,84
2021,Sur-Anta,Varones,Sin especificar,12,3
2021,Centro,Varones,Sin especificar,12,195
2021,Sur-Metán,Varones,Sin especificar,12,41
2021,Norte-Orán,Varones,Sin especificar,12,32
2021,Norte-Tartagal,Varones,Sin especificar,12,39
2022,Sur-Anta,Varones,Sin especificar,12,7
2022,Centro,Varones,Sin especificar,12,131
2022,Sur-Metán,Varones,Sin especificar,12,40
2022,Norte-Orán,Varones,Sin especificar,12,51
2022,Norte-Tartagal,Varones,Sin especificar,12,43
2023,Sur-Anta,Mujeres,Más de 74 años,11,16
2023,Sur-Anta,Mujeres,0-5 años,1,32
2023,Sur-Anta,Mujeres,6-10 años,2,33
2023,Sur-Anta,Mujeres,11-14 años,3,40
2023,Sur-Anta,Mujeres,15-17 años,4,33
2023,Sur-Anta,Mujeres,18-21 años,5,65
2023,Sur-Anta,Mujeres,22-29 años,6,133
2023,Sur-Anta,Mujeres,30-39 años,7,135
2023,Sur-Anta,Mujeres,40-49 años,8,91
2023,Sur-Anta,Mujeres,50-59 años,9,39
2023,Sur-Anta,Mujeres,60-74 años,10,25
2023,Sur-Anta,Mujeres,Sin especificar,12,23
2023,Sur-Anta,Varones,Más de 74 años,11,3
2023,Sur-Anta,Varones,0-5 años,1,28
2023,Sur-Anta,Varones,6-10 años,2,31
2023,Sur-Anta,Varones,11-14 años,3,20
2023,Sur-Anta,Varones,15-17 años,4,9
2023,Sur-Anta,Varones,18-21 años,5,9
2023,Sur-Anta,Varones,22-29 años,6,51
2023,Sur-Anta,Varones,30-39 años,7,101
2023,Sur-Anta,Varones,40-49 años,8,65
2023,Sur-Anta,Varones,50-59 años,9,25
2023,Sur-Anta,Varones,60-74 años,10,19
2023,Sur-Anta,Varones,Sin especificar,12,20
2023,Centro,Mujeres,Más de 74 años,11,413
2023,Centro,Mujeres,0-5 años,1,572
2023,Centro,Mujeres,6-10 años,2,757
2023,Centro,Mujeres,11-14 años,3,699
2023,Centro,Mujeres,15-17 años,4,505
2023,Centro,Mujeres,18-21 años,5,1242
